Plant,Country,Latitude,Longitude
BERKELEY,UNITED KINGDOM,51.6925,-2.493611
BRADWELL,UNITED KINGDOM,51.741389,0.8969440000000001
CHAPELCROSS,UNITED KINGDOM,55.01566,-3.22605
DOUNREAY,UNITED KINGDOM,58.578140000000005,-3.75233
DUNGENESS,UNITED KINGDOM,50.913889000000005,0.963889
HARTLEPOOL,UNITED KINGDOM,54.634824,-1.1808100000000001
HEYSHAM,UNITED KINGDOM,54.029927,-2.914384
HINKLEY POINT A,UNITED KINGDOM,51.208739,-3.133743
HINKLEY POINT B,UNITED KINGDOM,51.209034,-3.127477
HUNTERSTON A,UNITED KINGDOM,55.720224,-4.896656
HUNTERSTON B,UNITED KINGDOM,55.722221999999995,-4.89
OLDBURY,UNITED KINGDOM,51.648671,-2.57107
SELLAFIELD,UNITED KINGDOM,54.4205,-3.4975
SIZEWELL,UNITED KINGDOM,52.215,1.61972
TORNESS,UNITED KINGDOM,55.968423,-2.4084060000000003
TRAWSFYNYDD,UNITED KINGDOM,52.924864,-3.948439
WINFRITH,UNITED KINGDOM,50.681999999999995,-2.261
WYLFA,UNITED KINGDOM,53.4167,-4.4833300000000005
